"chain","date","token"
moonbeam,2023-06-22,101.325005
moonbeam,2023-06-21,113.0
moonbeam,2023-06-20,491.25
moonbeam,2023-06-19,4.725
moonbeam,2023-06-18,89.99
moonbeam,2023-06-17,1640.0
moonbeam,2023-06-16,2162.574
moonbeam,2023-06-15,181.76999
moonbeam,2023-06-14,143.72
moonbeam,2023-06-13,402.83002
moonbeam,2023-06-12,63.0
moonbeam,2023-06-11,353.591
moonbeam,2023-06-10,75.93
moonbeam,2023-06-09,350.4
moonbeam,2023-06-08,1.1700001
moonbeam,2023-06-07,78.22
moonbeam,2023-06-06,106.43
moonbeam,2023-06-05,126.011986
moonbeam,2023-06-04,212.0
moonbeam,2023-06-03,69.0
moonbeam,2023-06-02,1254.0
moonbeam,2023-06-01,0.78999996
moonbeam,2023-05-31,285.58002
moonbeam,2023-05-30,0.99
moonbeam,2023-05-29,326.65
moonbeam,2023-05-28,401.59998
moonbeam,2023-05-27,36.0
moonbeam,2023-05-26,1050.94
moonbeam,2023-05-25,100.0
moonbeam,2023-05-24,43.100002
moonbeam,2023-05-23,215.0
moonbeam,2023-05-22,544.4
moonbeam,2023-05-21,1077.0
moonbeam,2023-05-20,194.0
moonbeam,2023-05-19,77.0
moonbeam,2023-05-18,232.0
moonbeam,2023-05-17,153.49998
moonbeam,2023-05-16,3000.0
moonbeam,2023-05-15,709.0
moonbeam,2023-05-13,115.99
moonbeam,2023-05-12,2484.0
moonbeam,2023-05-11,419.5
moonbeam,2023-05-10,117.0
moonbeam,2023-05-09,252.79999
moonbeam,2023-05-08,1085.2
moonbeam,2023-05-07,122.5
moonbeam,2023-05-06,16.0
moonbeam,2023-05-05,370.0
moonbeam,2023-05-04,534.1
moonbeam,2023-05-03,1461.5763
moonbeam,2023-05-02,353.5
moonbeam,2023-05-01,823.39996
moonbeam,2023-04-30,878.5
moonbeam,2023-04-29,544.86
moonbeam,2023-04-28,939.2
moonbeam,2023-04-27,462.8
moonbeam,2023-04-26,439.8999
moonbeam,2023-04-25,448.5
moonbeam,2023-04-24,557.0
moonbeam,2023-04-23,1151.577
moonbeam,2023-04-22,1483.25
moonbeam,2023-04-21,1890.0
moonbeam,2023-04-20,265.0
moonbeam,2023-04-19,1234.0
moonbeam,2023-04-18,1953.6499
moonbeam,2023-04-17,1262.3999
moonbeam,2023-04-16,580.0
moonbeam,2023-04-15,1803.4
moonbeam,2023-04-14,2310.94
moonbeam,2023-04-13,2548.1
moonbeam,2023-04-12,3889.83
moonbeam,2023-04-11,1796.55
moonbeam,2023-04-10,1535.29
moonbeam,2023-04-09,1539.7499
moonbeam,2023-04-08,569.99
moonbeam,2023-04-07,954.48004
moonbeam,2023-04-06,652.08
moonbeam,2023-04-05,1764.45
moonbeam,2023-04-04,870.5001
moonbeam,2023-04-03,504.80197
moonbeam,2023-04-02,896.52747
moonbeam,2023-04-01,2295.4
shiden,2023-04-06,5.0
